,train/policy/clipfrac_avg,train/objective/non_score_reward,_runtime,train/objective/kl,train/lr,completions,_timestamp,train/val/ratio,train/val/clipfrac_avg,train/objective/entropy,train/policy/entropy_avg,train/val/num_eos_tokens,train/policy/approxkl_avg,train/episode,train/global_step,train/val/ratio_var,train/objective/scores,_step,train/eps,train/loss/value_avg,train/objective/rlhf_reward,train/loss/policy_avg,train/epoch
0,0.265380859375,-0.0007055678870528936,7.659574637,0.03527839481830597,1.4e-05,,1782157814.070264,1.2123205661773682,0.542236328125,100.23665618896484,0.7974159717559814,0.0,0.31648582220077515,8.0,1,0.028830690309405327,-0.6328125,0,0.0,5.974367618560791,-0.6335180401802063,-0.057020749896764755,4.9751243781094526e-05
1,,,13.181143376,,,"{'size': 5602, 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://20rpip6b8tw73qztrcms7x1dz2yyi226mexsu6ed3s8i84ofm12jw8ds4neo3igb41r9l3mvyvxb7ewi3cgyyutsr9a6ijypa6xl55tsnljdm8k7qnfcy65luy3j40h2:latest/completions.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'nrows': 8, 'artifact_path': 'wandb-client-artifact://6fysqiyvrj4rn5yam676u3o9bvxjz6rly5h6roui00phpf5mkfpdvagryfgcaoskryaq4nhuzdiq8iebn3ehrxytf0vhp6bra7wu1utrsjk8rn7tb5iqeqny9ayp7lxq/completions.table.json', 'path': 'media/table/completions_1_eadf691744de8abb2af9.table.json', 'sha256': 'eadf691744de8abb2af90eb0019f8ed21c158e6b7d88ff1c68fbb25f607f6168'}",1782157819.592226,,,,,,,,1,,,1,,,,,
2,0.210693359375,-0.03378383070230484,19.458338283,1.6891915798187256,1.3988799999999999e-05,,1782157825.8688507,1.0383448600769043,0.46435546875,131.6427764892578,0.9744706749916077,0.0,0.3326333165168762,16.0,2,0.0018021940486505628,-2.515625,2,0.0,3.4901130199432373,-2.5494089126586914,-0.05412977561354637,9.950248756218905e-05
3,0.140380859375,-0.18356190621852875,26.186478334,9.178095817565918,1.39776e-05,,1782157832.5971072,1.0335118770599365,0.37060546875,105.13551330566406,0.8205482959747314,0.0,0.19426068663597107,24.0,3,0.0012920734006911516,-4.09375,3,0.0,3.5132393836975098,-4.2773118019104,-0.04006526619195938,0.00014925373134328358
4,0.154296875,-0.2465662658214569,32.966322235,12.328313827514648,1.39664e-05,,1782157839.3767927,1.0226802825927734,0.32763671875,100.7052001953125,0.7989560961723328,0.0,0.08325600624084473,32.0,4,0.0005106335156597197,-3.375,4,0.0,3.1347644329071045,-3.6215662956237793,-0.04136628285050392,0.0001990049751243781
5,0.126708984375,-0.19195976853370667,39.531606851,9.597989082336426,1.39552e-05,,1782157845.9420464,1.011813998222351,0.28564453125,97.30560302734375,0.8034424781799316,0.0,0.03771675378084183,40.0,5,0.00021014105004724115,-0.08349609375,5,0.0,3.083683967590332,-0.27545586228370667,-0.0358855202794075,0.0002487562189054726
6,0.1181640625,-0.3549978733062744,46.099528026,17.749893188476562,1.3943999999999999e-05,,1782157852.5102997,1.0223689079284668,0.326171875,107.66967010498047,0.8032170534133911,0.0,0.02481466718018055,48.0,6,0.00042548446799628437,1.3671875,6,1.0,2.8102877140045166,1.0121896266937256,-0.03540557622909546,0.00029850746268656717
7,0.126220703125,-0.13216063380241394,53.083355192,6.6080322265625,1.39328e-05,,1782157859.4938426,1.0064778327941895,0.243896484375,117.58926391601562,0.9047908782958984,0.0,0.09865239262580872,56.0,7,0.00012364203575998545,-0.5078125,7,1.0,1.997241735458374,-0.6399731636047363,-0.03913334384560585,0.0003482587064676617
8,0.106689453125,-0.16887158155441284,59.75863079,8.44357967376709,1.3921599999999999e-05,,1782157866.1691017,1.00958251953125,0.3837890625,87.86393737792969,0.715585470199585,0.0,0.0317109152674675,64.0,8,0.0001012125940178521,2.25,8,1.0,2.1228818893432617,2.0811283588409424,-0.03350178524851799,0.0003980099502487562
9,0.103271484375,-0.17740730941295624,66.305697156,8.870365142822266,1.39104e-05,,1782157872.7162132,1.0129895210266113,0.283203125,93.24182891845703,0.7003647089004517,0.0,0.02959352731704712,72.0,9,0.00018852580979000777,-2.71875,9,1.0,1.5116429328918457,-2.8961572647094727,-0.03228044509887695,0.00044776119402985075
